id,user,id,followers_count,indegree,outdegree,Degree,eigencentrality,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity,color
222,@somto_ugwu,222,1260,1,10,11,0.00199,13,2,66,68,3,0.645161,0.741667,4,0.000516,10 - 14,#75FFF7
223,@wbg_gender,223,12094,8,3,11,0.016413,13,20,35,55,3,0.541667,0.602564,4,0.001143,10 - 14,#75FFF7
224,@thesvri,224,,8,0,8,0.020336,13,29,0,29,0,0,0,0,0.001363,10 - 14,#75FFF7
225,@ythorg,225,6364,6,6,12,0.013727,13,21,6,27,3,0.590909,0.679487,16,0.001119,10 - 14,#75FFF7
226,@sirpprojects,226,,2,0,2,0.003981,13,13,0,13,0,0,0,0,0.00056,10 - 14,#75FFF7
227,@unfpa_youth,227,18,0,1,1,0,5,0,1,1,4,0.366667,0.416667,0,0.000446, 5 - 9,FALSE
228,@oak_institute,228,4981,19,28,47,0.052306,8,793,555,1348,3,0.454545,0.555556,768.266667,0.001455, 5 - 9,FALSE
229,@efraseroak,229,155,6,32,38,0.02331,8,79,100,179,3,0.517241,0.593651,485.316667,0.000655, 5 - 9,FALSE
230,@therulesorg,230,,2,0,2,0.013487,8,22,0,22,0,0,0,0,0.000515, 5 - 9,FALSE
231,@alnoorladha,231,,1,0,1,0.009526,8,21,0,21,0,0,0,0,0.00049, 5 - 9,FALSE
232,@brettonwoodspr,232,,2,0,2,0.013487,8,12,0,12,0,0,0,0,0.000515, 5 - 9,FALSE
233,@globaljusticeuk,233,,1,0,1,0.009526,8,11,0,11,0,0,0,0,0.00049, 5 - 9,FALSE
234,@nickdearden75,234,,1,0,1,0.009526,8,11,0,11,0,0,0,0,0.00049, 5 - 9,FALSE
235,@both_ends,235,,1,0,1,0.009526,8,11,0,11,0,0,0,0,0.00049, 5 - 9,FALSE
236,@worldruralforum,236,,1,0,1,0.009526,8,11,0,11,0,0,0,0,0.00049, 5 - 9,FALSE
237,@iam_anaveen,237,40,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
238,@vkraomovva,238,300,0,18,18,0,31,0,23,23,3,0.757576,0.853333,0,0.000446,Greater than 30,#FF7575
239,@lagarde,239,,2,0,2,0.003626,12,6,0,6,0,0,0,0,0.000496,10 - 14,#75FFF7
240,@sash2904,240,39,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
241,@actionaid_nl,241,1837,0,1,1,0,29,0,1,1,4,0.393939,0.442308,0,0.000446,25 - 29,#FFB175
242,@dannywijnhoud,242,5424,1,7,8,0.001635,29,1,19,20,3,0.6,0.694444,12,0.000827,25 - 29,#FFB175
243,@landacademy,243,,1,0,1,0.001957,29,1,0,1,0,0,0,0,0.000547,25 - 29,#FFB175
244,@actionaid_kenya,244,,1,0,1,0.001957,29,1,0,1,0,0,0,0,0.000547,25 - 29,#FFB175
245,@ghostwhotweetz,245,85,0,4,4,0,11,0,4,4,3,0.571429,0.652778,0,0.000446,10 - 14,#75FFF7
246,@mittaloak,246,2816,4,20,24,0.018476,8,62,478,540,4,0.460526,0.53254,301.083333,0.000584, 5 - 9,FALSE
247,@joshirakesh2004,247,2485,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
248,@kaenkay,248,1738,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
249,@ghassanhalawa,249,2900,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
250,@parachute16me,250,819,2,1,3,0.003271,31,2,4,6,3,0.5,0.537037,0,0.000827,Greater than 30,#FF7575
251,@unpeacebuilding,251,9517,0,1,1,0,5,0,1,1,4,0.366667,0.416667,0,0.000446, 5 - 9,FALSE
252,@murali21272,252,429,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
253,@ferval100,253,5200,0,2,2,0,31,0,2,2,5,0.353535,0.415238,0,0.000446,Greater than 30,#FF7575
254,@monkee_bath,254,16,0,2,2,0,11,0,2,2,4,0.387097,0.465278,0,0.000446,10 - 14,#75FFF7
255,@yogesh_htin,255,542,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
256,@realdonaldtrump,256,,3,0,3,0.005616,12,6,0,6,0,0,0,0,0.000598,10 - 14,#75FFF7
257,@putinrf_eng,257,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000467,Greater than 30,#FF7575
258,@emmanuelmacron,258,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000467,Greater than 30,#FF7575
259,@theresa_may,259,,5,0,5,0.011812,28,15,0,15,0,0,0,0,0.000724,25 - 29,#FFB175
260,@xijinping,260,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000467,Greater than 30,#FF7575
261,@g20live,261,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000467,Greater than 30,#FF7575
262,@commonwealthsec,262,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000467,Greater than 30,#FF7575
263,@antonioguterres,263,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000467,Greater than 30,#FF7575
264,@devfinancenews,264,13305,0,4,4,0,0,0,5,5,3,0.48,0.597222,0,0.000446,0 - 4,#FF75FF
265,@edfinetwork,265,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000541,0 - 4,#FF75FF
266,@cdcgov,266,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000541,0 - 4,#FF75FF
267,@blavatnikschool,267,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000541,0 - 4,#FF75FF
268,@klrana54,268,338,0,4,4,0,11,0,4,4,3,0.571429,0.652778,0,0.000446,10 - 14,#75FFF7
269,@farisalahmad2,269,5152,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
270,@rotr_jude,270,5662,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
271,@mwebembezialber,271,33,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
272,@florasonkin,272,273,3,50,53,0.010936,8,3,949,952,3,0.610465,0.715873,479.166667,0.000552, 5 - 9,FALSE
273,@nathalievharen,273,,1,0,1,0.003106,8,1,0,1,0,0,0,0,0.000455, 5 - 9,FALSE
274,@centerofconcern,274,,1,0,1,0.003106,8,1,0,1,0,0,0,0,0.000455, 5 - 9,FALSE
275,@olumideidowu,275,,1,0,1,0.003106,8,1,0,1,0,0,0,0,0.000455, 5 - 9,FALSE
276,@biofuelwatch,276,,2,0,2,0.012632,8,11,0,11,0,0,0,0,0.0005, 5 - 9,FALSE
277,@sid_int,277,,1,0,1,0.003106,8,1,0,1,0,0,0,0,0.000455, 5 - 9,FALSE
278,@sideastafrica,278,,1,0,1,0.003106,8,1,0,1,0,0,0,0,0.000455, 5 - 9,FALSE
279,@democracycenter,279,,2,0,2,0.012632,8,11,0,11,0,0,0,0,0.0005, 5 - 9,FALSE
280,@grain_org,280,,3,0,3,0.009659,8,11,0,11,0,0,0,0,0.000493, 5 - 9,FALSE
281,@mikaelbergius,281,,1,0,1,0.003106,8,1,0,1,0,0,0,0,0.000455, 5 - 9,FALSE
282,@via_campesina,282,,5,0,5,0.023568,8,63,0,63,0,0,0,0,0.000605, 5 - 9,FALSE
283,@ecvc1,283,,2,0,2,0.012632,8,23,0,23,0,0,0,0,0.0005, 5 - 9,FALSE
284,@manufian,284,,4,0,4,0.014043,8,33,0,33,0,0,0,0,0.000561, 5 - 9,FALSE
285,@meyernathaniel,285,,1,0,1,0.003106,8,1,0,1,0,0,0,0,0.000455, 5 - 9,FALSE
286,@jandrosov,286,947,1,2,3,0.003106,8,1,3,4,4,0.324074,0.362698,0,0.000455, 5 - 9,FALSE
287,@focussouth,287,,2,0,2,0.005697,8,2,0,2,0,0,0,0,0.000468, 5 - 9,FALSE
288,@jasonhickel,288,,1,0,1,0.003106,8,2,0,2,0,0,0,0,0.000455, 5 - 9,FALSE
289,@janhavimittal,289,79,2,32,34,0.007068,8,20,57,77,3,0.502392,0.596825,269.416667,0.00048, 5 - 9,FALSE
290,@flaviabustreo,290,4845,0,3,3,0,9,0,3,3,4,0.421053,0.505208,0,0.000446, 5 - 9,FALSE
291,@lgostin,291,1680,7,7,14,0.021066,9,12,56,68,3,0.625,0.722222,52,0.001191, 5 - 9,FALSE
292,@oneillinstitute,292,1631,5,3,8,0.01477,9,13,4,17,4,0.405405,0.472222,0,0.00104, 5 - 9,FALSE
293,@benjaminmmeier,293,1783,4,5,9,0.011823,9,11,10,21,4,0.405405,0.472222,0,0.001141, 5 - 9,FALSE
294,@who,294,,3,0,3,0.008645,9,13,0,13,0,0,0,0,0.0007, 5 - 9,FALSE
295,@ilo,295,,1,0,1,0.004731,9,8,0,8,0,0,0,0,0.000591, 5 - 9,FALSE
296,@unfpa,296,,1,0,1,0.004731,9,8,0,8,0,0,0,0,0.000591, 5 - 9,FALSE
297,@unhumanrights,297,,1,0,1,0.004731,9,8,0,8,0,0,0,0,0.000591, 5 - 9,FALSE
298,@meenakshibdutt,298,73,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
299,@clairecschouten,299,1558,0,2,2,0,31,0,3,3,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
300,@yowork,300,850,0,2,2,0,12,0,2,2,4,0.393939,0.467949,0,0.000446,10 - 14,#75FFF7
301,@bccoalitionnl,301,210,5,4,9,0.008498,12,8,32,40,3,0.571429,0.652778,38,0.001344,10 - 14,#75FFF7
302,@sigridkaag,302,,5,0,5,0.009816,12,12,0,12,0,0,0,0,0.001399,10 - 14,#75FFF7
303,@renepdv,303,,1,0,1,0.003275,12,8,0,8,0,0,0,0,0.000732,10 - 14,#75FFF7
304,@includeplatform,304,1897,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
305,@sheilakulubya,305,2887,1,3,4,0.002669,29,3,3,6,3,0.541667,0.602564,0,0.000582,25 - 29,#FFB175
306,@ds_dubois,306,668,3,5,8,0.005648,29,7,15,22,3,0.590909,0.679487,10,0.000799,25 - 29,#FFB175
307,@diop_wb,307,,2,0,2,0.004725,29,4,0,4,0,0,0,0,0.000748,25 - 29,#FFB175
308,@wbtanzania,308,,1,0,1,0.002669,29,3,0,3,0,0,0,0,0.000582,25 - 29,#FFB175
309,@worldbankafrica,309,352753,7,2,9,0.012803,29,11,26,37,3,0.529412,0.592593,9.5,0.001462,25 - 29,#FFB175
310,@obidi_ok,310,159,0,3,3,0,10,0,3,3,3,0.55,0.621212,0,0.000446,10 - 14,#75FFF7
311,@elrufai,311,,3,0,3,0.005228,10,5,0,5,0,0,0,0,0.000863,10 - 14,#75FFF7
312,@apcnigeria,312,,1,0,1,0.001635,10,1,0,1,0,0,0,0,0.000573,10 - 14,#75FFF7
313,@ignited_indian,313,196,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
314,@siddarthasg,314,106,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
315,@ninodesantis1,315,251,0,6,6,0,31,0,40,40,3,0.55,0.621212,0,0.000446,Greater than 30,#FF7575
316,@cesahafrica,316,158,0,8,8,0,31,0,8,8,3,0.652174,0.755556,0,0.000446,Greater than 30,#FF7575
317,@yates_rob,317,7045,2,8,10,0.003271,31,2,56,58,3,0.636364,0.738095,3,0.00057,Greater than 30,#FF7575
318,@billgates,318,,3,0,3,0.005549,31,6,0,6,0,0,0,0,0.00063,Greater than 30,#FF7575
319,@pennymordaunt,319,,7,0,7,0.026158,8,42,0,42,0,0,0,0,0.000756, 5 - 9,FALSE
320,@jimyongkim,320,,14,0,14,0.194601,29,75,0,75,0,0,0,0,0.01772,25 - 29,#FFB175
321,@dfid_uk,321,,10,0,10,0.034001,8,55,0,55,0,0,0,0,0.000996, 5 - 9,FALSE
322,@drtedros,322,,2,0,2,0.003914,31,5,0,5,0,0,0,0,0.000554,Greater than 30,#FF7575
323,@mfkosovo,323,992,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
324,@petrit,324,51575,5,1,6,0.008177,31,5,10,15,3,0.5,0.537037,0,0.001398,Greater than 30,#FF7575
325,@unfoundation,325,550901,3,2,5,0.004906,31,3,2,5,3,0.526316,0.583333,0,0.000827,Greater than 30,#FF7575
326,@globalgoalsun,326,250517,14,1,15,0.023859,31,14,22,36,3,0.5,0.537037,0,0.002989,Greater than 30,#FF7575
327,@donaldplawson,327,34,0,7,7,0,31,0,7,7,3,0.625,0.722222,0,0.000446,Greater than 30,#FF7575
328,@bsebti,328,11680,3,3,6,0.004906,31,3,3,6,3,0.526316,0.583333,11,0.000929,Greater than 30,#FF7575
329,@michpabsy,329,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.0005,Greater than 30,#FF7575
330,@zubie3,330,724,3,1,4,0.006193,31,3,4,7,3,0.5,0.537037,0,0.000901,Greater than 30,#FF7575
331,@chinaopenmic,331,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.0005,Greater than 30,#FF7575
332,@chrismontgomery,332,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.0005,Greater than 30,#FF7575
333,@_carlosferreyra,333,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.0005,Greater than 30,#FF7575
334,@lowriejohn,334,397,1,4,5,0.00199,31,3,6,9,3,0.55,0.621212,0,0.000446,Greater than 30,#FF7575
335,@devex,335,77037,2,2,4,0.003626,31,2,6,8,3,0.526316,0.583333,0,0.000668,Greater than 30,#FF7575
336,@being_vinay82,336,778,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
337,@glenn_swart,337,3454,0,3,3,0,31,0,3,3,3,0.55,0.621212,0,0.000446,Greater than 30,#FF7575
338,@shopperann68,338,3173,0,5,5,0,8,0,5,5,4,0.326154,0.375786,0,0.000446, 5 - 9,FALSE
339,@usaid,339,,8,0,8,0.028111,8,45,0,45,0,0,0,0,0.000939, 5 - 9,FALSE
340,@dfid,340,,3,0,3,0.015885,8,12,0,12,0,0,0,0,0.000584, 5 - 9,FALSE
341,@gatesfoundation,341,,10,0,10,0.034897,8,74,0,74,0,0,0,0,0.000958, 5 - 9,FALSE
342,@stopcorpabuse,342,,2,0,2,0.012632,8,11,0,11,0,0,0,0,0.0005, 5 - 9,FALSE
343,@agrawatch,343,,2,0,2,0.012632,8,50,0,50,0,0,0,0,0.0005, 5 - 9,FALSE
344,@food_democracy,344,,2,0,2,0.012632,8,11,0,11,0,0,0,0,0.0005, 5 - 9,FALSE
345,@carolyn_gaspar,345,12,3,5,8,0.006505,12,7,14,21,3,0.545455,0.611111,4,0.000961,10 - 14,#75FFF7
346,@bworldph,346,30397,1,2,3,0.001635,31,1,8,9,3,0.526316,0.583333,0,0.000573,Greater than 30,#FF7575
347,@elijahtubayan,347,,2,0,2,0.003592,31,5,0,5,0,0,0,0,0.000817,Greater than 30,#FF7575
348,@heatherpinnock,348,5195,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
349,@dimafreedoom,349,4024,0,2,2,0,31,0,2,2,3,0.52381,0.575758,0,0.000446,Greater than 30,#FF7575
350,@alt_estate,350,5868,8,2,10,0.013082,31,8,32,40,3,0.526316,0.583333,8,0.00197,Greater than 30,#FF7575
351,@businesstimes,351,,1,0,1,0.004209,31,16,0,16,0,0,0,0,0.001286,Greater than 30,#FF7575
352,@gojovenphi,352,,1,0,1,0.003934,13,1,0,1,0,0,0,0,0.000605,10 - 14,#75FFF7
353,@phi_research,353,,1,0,1,0.003934,13,1,0,1,0,0,0,0,0.000605,10 - 14,#75FFF7
354,@anonymousstarrr,354,38,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
355,@andriancandu,355,685,1,1,2,0.001635,31,1,3,4,3,0.5,0.537037,0,0.000636,Greater than 30,#FF7575
356,@economiadelagua,356,2163,2,1,3,0.003271,31,2,3,5,3,0.5,0.537037,18,0.001208,Greater than 30,#FF7575
357,@bboy_vino,357,3284,0,2,2,0,31,0,2,2,3,0.52381,0.575758,0,0.000446,Greater than 30,#FF7575
358,@miky_bdolino,358,44,0,3,3,0,31,0,3,3,3,0.55,0.621212,0,0.000446,Greater than 30,#FF7575
359,@unwomenarabic,359,7696,7,2,9,0.011447,31,7,42,49,3,0.526316,0.583333,0,0.001335,Greater than 30,#FF7575
360,@sarah_iqbal,360,,8,0,8,0.015334,31,28,0,28,0,0,0,0,0.001904,Greater than 30,#FF7575
361,@yusufsgiwa,361,58,0,3,3,0,10,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
362,@saharareporters,362,1967990,1,3,4,0.001635,10,1,9,10,3,0.55,0.621212,1,0.000573,10 - 14,#75FFF7
363,@ngrsenate,363,,1,0,1,0.001957,10,3,0,3,0,0,0,0,0.000609,10 - 14,#75FFF7
364,@smarcelaochoa,364,323,0,3,3,0,8,0,3,3,4,0.324159,0.366352,0,0.000446, 5 - 9,FALSE
365,@ifadnews,365,,3,0,3,0.015885,8,8,0,8,0,0,0,0,0.000635, 5 - 9,FALSE
366,@usaidmarkgreen,366,,4,0,4,0.020609,8,36,0,36,0,0,0,0,0.000571, 5 - 9,FALSE
367,@moitraabhijit4,367,38,1,1,2,0.001635,31,1,3,4,3,0.5,0.537037,0,0.000636,Greater than 30,#FF7575
368,@fianbelgium,368,,1,0,1,0.009526,8,11,0,11,0,0,0,0,0.00049, 5 - 9,FALSE
369,@pcgtw,369,,1,0,1,0.009526,8,11,0,11,0,0,0,0,0.00049, 5 - 9,FALSE
370,@digihunk,370,2431,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
371,@ashwin28,371,175,0,4,4,0,11,0,4,4,3,0.571429,0.652778,0,0.000446,10 - 14,#75FFF7
372,@bjp4india,372,,1,0,1,0.001635,11,1,0,1,0,0,0,0,0.000541,10 - 14,#75FFF7
373,@pmoindia,373,,1,0,1,0.001635,11,1,0,1,0,0,0,0,0.000541,10 - 14,#75FFF7
374,@sustainus,374,9593,4,1,5,0.011453,31,6,5,11,3,0.5,0.537037,0,0.00086,Greater than 30,#FF7575
375,@loicveza,375,172,1,3,4,0.002806,12,5,3,8,3,0.545455,0.611111,1,0.000674,10 - 14,#75FFF7
376,@future_unsecgen,376,56,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
377,@robertrlucas,377,2574,0,2,2,0,31,0,6,6,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
378,@wbtreasurer,378,23632,3,1,4,0.004906,31,5,10,15,3,0.5,0.537037,0,0.001017,Greater than 30,#FF7575
379,@ipupresident,379,4746,6,4,10,0.013515,12,9,61,70,3,0.56,0.630952,15,0.001327,10 - 14,#75FFF7
380,@ipuparliament,380,15496,5,3,8,0.01045,12,24,3,27,3,0.5,0.571429,0,0.001072,10 - 14,#75FFF7
381,@09_urbina,381,57,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
382,@winifreddoherty,382,724,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
383,@angelrangels,383,17722,0,2,2,0,31,0,2,2,3,0.521739,0.569444,0,0.000446,Greater than 30,#FF7575
384,@wbg_climate,384,93075,3,1,4,0.005871,31,4,1,5,3,0.5,0.537037,0,0.000984,Greater than 30,#FF7575
385,@bancomundiallac,385,,1,0,1,0.002279,31,2,0,2,0,0,0,0,0.000681,Greater than 30,#FF7575
386,@profvnsharma,386,751,0,3,3,0,31,0,3,3,3,0.55,0.621212,0,0.000446,Greater than 30,#FF7575
387,@salomnm,387,3586,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
388,@mosesntenga,388,514,1,4,5,0.00199,13,1,4,5,3,0.571429,0.652778,0,0.00049,10 - 14,#75FFF7
389,@joyforchildren,389,,2,0,2,0.003981,13,2,0,2,0,0,0,0,0.000594,10 - 14,#75FFF7
390,@vnayebare,390,,2,0,2,0.003981,13,2,0,2,0,0,0,0,0.000594,10 - 14,#75FFF7
391,@kiosfoundation,391,,2,0,2,0.003981,13,2,0,2,0,0,0,0,0.000594,10 - 14,#75FFF7
392,@wbg_fin4dev,392,10554,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
393,@markrwri,393,1517,0,3,3,0,5,0,3,3,3,0.55,0.621212,0,0.000446, 5 - 9,FALSE
394,@wrigovernance,394,,1,0,1,0.001635,5,1,0,1,0,0,0,0,0.000573, 5 - 9,FALSE
395,@scalingoffgrid,395,1853,2,5,7,0.003271,31,2,15,17,3,0.590909,0.679487,4,0.000636,Greater than 30,#FF7575
396,@dlightdesign,396,,2,0,2,0.003914,31,4,0,4,0,0,0,0,0.000618,Greater than 30,#FF7575
397,@mkopasolar,397,,2,0,2,0.003914,31,4,0,4,0,0,0,0,0.000618,Greater than 30,#FF7575
398,@bboxx_hq,398,,2,0,2,0.003914,31,4,0,4,0,0,0,0,0.000618,Greater than 30,#FF7575
399,@lumosglobal,399,,2,0,2,0.003914,31,4,0,4,0,0,0,0,0.000618,Greater than 30,#FF7575
400,@doublejeopardee,400,69,0,2,2,0,31,0,4,4,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
401,@wbg_health,401,,6,0,6,0.009812,31,9,0,9,0,0,0,0,0.001589,Greater than 30,#FF7575
402,@djdangi,402,755,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
403,@lindsaycoates,403,442,2,4,6,0.023719,31,6,5,11,2,0.615385,0.6875,0.5,0.004309,Greater than 30,#FF7575
404,@ngovoices,404,2164,0,4,4,0,31,0,6,6,2,0.6,0.666667,0,0.000446,Greater than 30,#FF7575
405,@kebinsoreasmey,405,474,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
406,@plus_socialgood,406,48927,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
407,@edo_seefor,407,65,0,5,5,0,14,0,5,5,3,0.590909,0.679487,0,0.000446,10 - 14,#75FFF7
408,@tonaiwu,408,,1,0,1,0.001635,14,1,0,1,0,0,0,0,0.000522,10 - 14,#75FFF7
409,@governorobaseki,409,,1,0,1,0.001635,14,1,0,1,0,0,0,0,0.000522,10 - 14,#75FFF7
410,@edostategovt,410,,1,0,1,0.001635,14,1,0,1,0,0,0,0,0.000522,10 - 14,#75FFF7
411,@europeunion,411,,1,0,1,0.001635,14,1,0,1,0,0,0,0,0.000522,10 - 14,#75FFF7
412,@10ly,412,768,0,3,3,0,31,0,4,4,3,0.535714,0.588889,0,0.000446,Greater than 30,#FF7575
413,@javier_montiel,413,112,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
414,@shgosalci,414,464,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
415,@nicschiegg,415,2806,0,8,8,0,31,0,8,8,3,0.560976,0.652174,0,0.000446,Greater than 30,#FF7575
416,@malakagharib,416,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000493,Greater than 30,#FF7575
417,@imf,417,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000493,Greater than 30,#FF7575
418,@tkb,418,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000493,Greater than 30,#FF7575
419,@sarahjacksonhan,419,3505,1,5,6,0.001635,31,1,6,7,3,0.576923,0.655556,6,0.000493,Greater than 30,#FF7575
420,@aidthoughts,420,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000493,Greater than 30,#FF7575
421,@nmeda_officiel,421,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000493,Greater than 30,#FF7575
422,@born27354707,422,28,0,3,3,0,31,0,5,5,3,0.55,0.621212,0,0.000446,Greater than 30,#FF7575
423,@ivankatrump,423,,1,0,1,0.001635,31,2,0,2,0,0,0,0,0.000573,Greater than 30,#FF7575
424,@shsanders45,424,,1,0,1,0.001635,31,1,0,1,0,0,0,0,0.000573,Greater than 30,#FF7575
425,@armellekiyak,425,0,0,4,4,0,31,0,4,4,2,0.642857,0.722222,0,0.000446,Greater than 30,#FF7575
426,@fami_org,426,42,0,6,6,0,8,0,10,10,4,0.377224,0.424528,0,0.000446, 5 - 9,FALSE
427,@redaviasolar,427,292,1,4,5,0.003933,5,8,4,12,3,0.533333,0.576389,0,0.000583, 5 - 9,FALSE
428,@shellfoundation,428,,3,0,3,0.007747,5,10,0,10,0,0,0,0,0.000803, 5 - 9,FALSE
429,@rafiki_power,429,,1,0,1,0.003933,5,8,0,8,0,0,0,0,0.000583, 5 - 9,FALSE
430,@steamaco,430,,1,0,1,0.003933,5,8,0,8,0,0,0,0,0.000583, 5 - 9,FALSE
431,@engiegroup,431,,1,0,1,0.003933,5,8,0,8,0,0,0,0,0.000583, 5 - 9,FALSE
432,@powergen_re,432,,1,0,1,0.003933,5,8,0,8,0,0,0,0,0.000583, 5 - 9,FALSE
433,@powerhive,433,,1,0,1,0.003933,5,8,0,8,0,0,0,0,0.000583, 5 - 9,FALSE
434,@rvesol,434,,1,0,1,0.003933,5,8,0,8,0,0,0,0,0.000583, 5 - 9,FALSE
435,@cookytitacookie,435,221,0,3,3,0,31,0,3,3,3,0.55,0.621212,0,0.000446,Greater than 30,#FF7575
436,@ajaykum70347445,436,14,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
437,@wbg_cities,437,40844,0,2,2,0,31,0,2,2,3,0.521739,0.569444,0,0.000446,Greater than 30,#FF7575
438,@lourebas,438,796,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
439,@worldbankwater,439,63951,8,1,9,0.013082,31,12,8,20,3,0.5,0.537037,63,0.002922,Greater than 30,#FF7575
440,@unlibrary,440,56880,4,1,5,0.006541,31,4,9,13,3,0.5,0.537037,0,0.001208,Greater than 30,#FF7575
441,@olatahmed,441,479,0,1,1,0,31,0,1,1,4,0.357143,0.408333,0,0.000446,Greater than 30,#FF7575
442,@anilvegomega,442,3126,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
443,@natashatynes,443,8916,0,1,1,0,31,0,1,1,4,0.366667,0.416667,0,0.000446,Greater than 30,#FF7575
444,@luqmansheikh,444,601,0,2,2,0,31,0,2,2,3,0.526316,0.583333,0,0.000446,Greater than 30,#FF7575
445,@abhimarkhedkar,445,202,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
446,@vvpvku,446,154,1,4,5,0.001635,11,1,4,5,3,0.571429,0.652778,0,0.000522,10 - 14,#75FFF7
447,@subratpatra13,447,21,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
448,@rothcocpa,448,260,0,2,2,0,15,0,2,2,4,0.357143,0.408333,0,0.000446,15 - 19,#75FF79
449,@pwc,449,81071,3,1,4,0.004906,15,3,1,4,3,0.5,0.537037,18,0.001017,15 - 19,#75FF79
450,@ambassad_air,450,519,1,3,4,0.00199,12,2,4,6,4,0.42,0.488095,0,0.000509,10 - 14,#75FFF7
