id,user,id,followers_count,indegree,outdegree,Degree,eigencentrality,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity,color
51,@le44avecfillon,51,2618,0,2,2,0,31,0,2,2,3,0.529412,0.592593,0,0.000446,Greater than 30,#FF7575
52,@paulino_marca,52,481,0,2,2,0,0,0,2,2,4,0.392857,0.477273,0,0.000446,0 - 4,#FF75FF
53,@nachotapatio,53,730,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
54,@franklinmolano,54,455,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
55,@lynncote,55,535,0,2,2,0,0,0,2,2,3,0.434783,0.516667,0,0.000446,0 - 4,#FF75FF
56,@simforsyth,56,745,1,2,3,0.001635,0,1,2,3,3,0.409091,0.462963,0,0.000636,0 - 4,#FF75FF
57,@wbg_dev4peace,57,12916,3,11,14,0.005746,31,3,49,52,3,0.68,0.784314,46,0.001089,Greater than 30,#FF7575
58,@huguesmoussy,58,43,0,5,5,0,0,0,5,5,3,0.492958,0.542857,0,0.000446,0 - 4,#FF75FF
59,@acafricacenter,59,2889,3,8,11,0.005324,2,3,104,107,3,0.551724,0.697917,4,0.000565,0 - 4,#FF75FF
60,@tahiradosani,60,,3,0,3,0.006326,2,15,0,15,0,0,0,0,0.000626,0 - 4,#FF75FF
61,@accionvlab,61,,3,0,3,0.006326,2,15,0,15,0,0,0,0,0.000626,0 - 4,#FF75FF
62,@chijioked,62,,3,0,3,0.006326,2,15,0,15,0,0,0,0,0.000626,0 - 4,#FF75FF
63,@onefico,63,,3,0,3,0.006326,2,15,0,15,0,0,0,0,0.000626,0 - 4,#FF75FF
64,@njidekaharry,64,,1,0,1,0.002638,2,13,0,13,0,0,0,0,0.000506,0 - 4,#FF75FF
65,@youthfortech,65,,2,0,2,0.004273,2,14,0,14,0,0,0,0,0.000554,0 - 4,#FF75FF
66,@aubreyhruby,66,3608,1,6,7,0.002638,2,13,6,19,3,0.516129,0.635417,0,0.000506,0 - 4,#FF75FF
67,@tete_sala,67,25,0,3,3,0,0,0,3,3,3,0.55,0.621212,0,0.000446,0 - 4,#FF75FF
68,@omnilincbiz,68,94,0,1,1,0,31,0,2,2,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
69,@virginiaba,69,106,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
70,@martajuarezl,70,140,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
71,@robb1egz,71,328,0,3,3,0,0,0,3,3,3,0.55,0.621212,0,0.000446,0 - 4,#FF75FF
72,@modis_feed,72,1174,0,2,2,0,31,0,2,2,3,0.529412,0.592593,0,0.000446,Greater than 30,#FF7575
73,@marsolaries1,73,291,2,2,4,0.004982,3,55,2,57,3,0.409091,0.450617,10.5,0.000616,0 - 4,#FF75FF
74,@bivamx,74,,1,0,1,0.003101,3,5,0,5,0,0,0,0,0.00056,0 - 4,#FF75FF
75,@grupofinvel,75,,1,0,1,0.003101,3,5,0,5,0,0,0,0,0.00056,0 - 4,#FF75FF
76,@ankitsi66798650,76,93,0,1,1,0,31,0,2,2,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
77,@dhelmonteler,77,46,0,1,1,0,0,0,1,1,4,0.37037,0.425,0,0.000446,0 - 4,#FF75FF
78,@lieselpritzker,78,2039,1,2,3,0.001635,0,1,2,3,3,0.529412,0.592593,9,0.000827,0 - 4,#FF75FF
79,@tungalagdondog,79,647,0,4,4,0,0,0,4,4,3,0.480769,0.54,0,0.000446,0 - 4,#FF75FF
80,@pochonavaro,80,3409,0,1,1,0,31,0,2,2,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
81,@prissmacsltg,81,87,0,2,2,0,3,0,2,2,4,0.35,0.401786,0,0.000446,0 - 4,#FF75FF
82,@ifc_lac,82,8436,3,6,9,0.007227,3,7,12,19,3,0.442623,0.518519,30,0.000792,0 - 4,#FF75FF
83,@amundi_eng,83,3894,1,1,2,0.002813,3,2,1,3,3,0.5,0.537037,1.666667,0.000559,0 - 4,#FF75FF
84,@mexico2_pmc,84,,2,0,2,0.005304,3,6,0,6,0,0,0,0,0.000601,0 - 4,#FF75FF
85,@bmvmercados,85,,2,0,2,0.005304,3,6,0,6,0,0,0,0,0.000601,0 - 4,#FF75FF
86,@lumpurtiles,86,128,0,4,4,0,0,0,4,4,3,0.571429,0.652778,0,0.000446,0 - 4,#FF75FF
87,@victorernestov8,87,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000541,0 - 4,#FF75FF
88,@toya_arq,88,50,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
89,@gonzarami1,89,5,0,6,6,0,0,0,6,6,3,0.518519,0.654762,0,0.000446,0 - 4,#FF75FF
90,@presidenteues21,90,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000509,0 - 4,#FF75FF
91,@rectorasiglo21,91,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000509,0 - 4,#FF75FF
92,@lasiglo21,92,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000509,0 - 4,#FF75FF
93,@ejidatarioreba1,93,3974,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
94,@profegaby1961,94,136,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
95,@nadiadaar,95,427,0,4,4,0,0,0,5,5,3,0.471698,0.52,0,0.000446,0 - 4,#FF75FF
96,@kmaloufbous,96,520,7,2,9,0.026433,0,20,12,32,3,0.461538,0.5,17.345238,0.001479,0 - 4,#FF75FF
